index,model_key,mileage,engine_power,fuel,paint_color,car_type,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,price,age
1804,114,159053.19999999998,70.0,diesel,blue,hatchback,False,True,False,False,False,False,True,False,8300.0,3.9
1847,114,100398.0,70.0,diesel,white,hatchback,False,True,False,False,False,True,True,False,10700.0,4.0
1983,114,57344.0,70.0,diesel,grey,hatchback,False,True,False,False,False,False,True,False,11800.0,4.4
1988,114,150373.0,70.0,diesel,brown,hatchback,False,True,False,False,False,False,True,False,8200.0,4.8
2001,114,72527.0,70.0,diesel,silver,hatchback,False,False,False,False,False,False,True,False,9300.0,4.3
2168,114,16572.9,75.0,petrol,black,hatchback,False,False,False,False,False,False,True,False,10800.0,4.1
2196,114,52299.0,75.0,petrol,black,hatchback,False,False,False,False,True,True,True,False,13400.0,5.63
2213,114,17013.0,75.0,petrol,white,hatchback,False,False,False,False,False,False,True,False,10700.0,3.4
2273,114,87768.0,70.0,diesel,brown,hatchback,False,False,False,False,False,False,True,False,6200.0,4.6
2400,114,51376.0,75.0,petrol,black,hatchback,False,False,False,False,True,True,True,False,14300.0,5.6
3652,114,75251.0,70.0,diesel,black,subcompact,False,False,False,False,False,False,True,False,15330.0,4.1
3700,114,75801.0,70.0,diesel,black,subcompact,False,False,False,False,False,False,True,False,15300.0,4.1
3705,114,25703.0,70.0,diesel,grey,subcompact,False,True,False,False,False,False,True,False,8200.0,3.07
3730,114,52198.0,75.0,petrol,black,subcompact,False,False,False,False,True,True,True,False,14300.0,5.4
3740,114,93921.0,70.0,diesel,white,subcompact,False,False,True,False,True,False,True,False,11200.0,4.3
425,116,72374.0,85.0,diesel,red,estate,False,False,False,False,False,False,True,False,9500.0,4.1
1136,116,31794.0,85.0,petrol,black,estate,True,False,False,False,False,False,True,False,13600.0,3.08
1757,116,185869.0,85.0,diesel,grey,hatchback,False,True,False,False,False,False,True,False,10200.0,4.8
1759,116,110087.0,85.0,diesel,black,hatchback,True,True,False,False,False,False,True,False,10000.0,4.6
1761,116,176047.0,85.0,diesel,white,hatchback,False,True,False,False,False,False,True,False,14900.0,3.8
1762,116,121617.0,85.0,diesel,black,hatchback,False,False,False,False,False,False,True,False,9300.0,6.7
1764,116,155869.0,85.0,petrol,black,hatchback,False,False,False,False,False,False,True,True,6000.0,6.0
1765,116,34801.0,85.0,diesel,black,hatchback,False,False,False,False,True,True,True,False,12000.0,4.3
1767,116,59043.0,85.0,diesel,black,hatchback,False,False,False,False,False,False,False,False,11700.0,4.0
